"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Pet","Удаление питомца","0","0","1","0","0"
"","User","Вход и выход с учетной записи","0","0","1","0","0"
"","","","0","0","13","0","0"
"","User","Изменяем пользователя","0","0","1","0","0"
"","Store","Удаление заказа","0","0","1","0","0"
"","User","Удаление пользователя","0","0","1","0","0"
"","Логин","Успешный логин","0","1","0","0","0"
"","Логин","Неверный логин","0","1","0","0","0"
"","Store","Получение инвентаря магазина","0","0","1","0","0"
"","Полный путь покупки","Полный путь покупки","0","1","0","0","0"
"","Store","Создание заказа","0","0","1","0","0"
"","Pet (Serialization Demo)","Сериализация/десериализация через POJO","0","0","1","0","0"
"","User","Получение несуществующего пользователя","0","0","1","0","0"
"","User","Получение пользователя","0","0","1","0","0"
"","Pet","Получение несуществующего питомца","0","0","1","0","0"
"","User","Создание списка пользователей","0","0","1","0","0"
"","Pet","Получение питомца по id","0","0","1","0","0"
"","Store","Получение заказа","0","0","1","0","0"
"","Логин","Пустые поля логин и пароль","0","1","0","0","0"
"","User","Создание пользователя","0","0","1","0","0"
"","Pet","Создание питомца","0","0","1","0","0"
"","Pet","Изменение питомца","0","0","1","0","0"
"","Store","Получение несуществующего заказа","0","0","1","0","0"
